,actual,ln_chg,nrmd_p
HEDJ,Foreign Equity,Foreign Equity,US Equity
HYD,US Fixed Income,US Fixed Income,US Fixed Income
HYEM,Foreign Fixed Income,Foreign Fixed Income,Foreign Equity
HYG,US Fixed Income,US Equity,Multi-Class
HYS,US Fixed Income,US Fixed Income,US Fixed Income
IAU,Alternative,Alternative,Alternative
IBB,US Equity,US Equity,US Equity
ICF,Alternative,Alternative,Alternative
IDV,Foreign Equity,Foreign Equity,Foreign Equity
IDX,Foreign Equity,Foreign Equity,Foreign Equity
IEF,US Fixed Income,US Fixed Income,US Fixed Income
IEFA,Foreign Equity,Foreign Equity,Foreign Equity
IEI,US Fixed Income,US Fixed Income,US Fixed Income
IEMG,Foreign Equity,Foreign Equity,Foreign Equity
IEO,US Equity,US Equity,US Equity
IEV,Foreign Equity,Foreign Equity,Foreign Equity
IEZ,US Equity,US Equity,US Equity
IFGL,Foreign Equity,Foreign Equity,Foreign Equity
IGE,US Equity,US Equity,US Equity
IGF,Global Equity,Foreign Equity,Multi-Class
IGN,US Equity,US Equity,Foreign Equity
IJH,US Equity,US Equity,US Equity
IJJ,US Equity,US Equity,US Equity
IJK,US Equity,US Equity,Multi-Class
IJNK,Foreign Fixed Income,Foreign Equity,Foreign Equity
IJR,US Equity,US Equity,US Equity
IJS,US Equity,US Equity,US Equity
IJT,US Equity,US Equity,US Equity
ILF,Foreign Equity,Foreign Equity,Foreign Equity
INDA,Foreign Equity,Foreign Equity,Foreign Equity
INDY,Foreign Equity,Foreign Equity,Foreign Equity
INKM,Multi-Class,Multi-Class,US Fixed Income
ITB,US Equity,US Equity,Alternative
ITM,US Fixed Income,US Fixed Income,US Fixed Income
ITOT,US Equity,US Equity,US Equity
IVE,US Equity,US Equity,US Equity
IVV,US Equity,US Equity,US Equity
IVW,US Equity,US Equity,US Equity
IWB,US Equity,US Equity,US Equity
IWD,US Equity,US Equity,US Equity
IWF,US Equity,US Equity,US Equity
IWM,US Equity,US Equity,US Equity
IWN,US Equity,US Equity,US Equity
IWO,US Equity,US Equity,US Equity
IWP,US Equity,US Equity,US Equity
IWR,US Equity,US Equity,US Equity
IWS,US Equity,US Equity,US Equity
IWV,US Equity,US Equity,US Equity
IXC,Global Equity,US Equity,US Equity
IYE,US Equity,US Equity,US Equity
IYF,US Equity,US Equity,US Equity
